acer	genusacer,dicotgenus,magnoliopsidgenus
energy	force,healthiness,goodhealth,executivedepartment,strength,zip,liveliness,vigour,forcefulness,vigor,life,sprightliness,vitality,physicalphenomenon,vim,spirit,drive,doe,departmentofenergy,energydepartment,push,getupandgo,muscularity
engine	railwaylocomotive,causalagency,selfpropelledvehicle,causalagent,motor,locomotiveengine,cause,locomotive
engineering	discipline,appliedscience,room,field,study,profession,fieldofstudy,engineeringscience,subjectarea,application,engineroom,branchofknowledge,bailiwick,subjectfield,technology,practicalapplication,subject
fat	heavy,lipide,paunchy,fleshout,loosejowled,animaltissue,portly,porcine,avoirdupois,juicy,rounded,nonfat,adiposetissue,rolypoly,chubby,doublechinned,thick,fatness,jowly,fillout,lipid,compact,embonpoint,zaftig,fattish,buttery,leanness,superfatted,lipoid,buxom,pudgy,fruitful,thickset,plumpout,rich,sebaceous,podgy,suety,fattenout,pyknic,oily,plump,obese,endomorphic,profitable,fatty,tubby,bodilyproperty,zoftig,blubbery,overweight,heavyset,change,stocky,productive,stout,blubber,oleaginous,gross,dumpy,fattytissue,greasy,rotund,corpulent,fattenup,adipose,alter,modify,thin,fertile,abdominous,fleshy,potbellied,fatten,weighty
foursquare	square,regularpolygon,resolute,straightforwardly,squarely,rectangle
gadget	contraption,gismo,appliance,widget,convenience,contrivance,device,gizmo
game	brave,job,back,competition,stake,halting,unfit,animatebeing,wager,occupation,caper,plot,bet,lame,frolic,brute,strategy,gage,score,animal,scheme,creature,play,halt,business,spunky,mettlesome,gamy,beast,diversion,beton,biz,crippled,line,gameequipment,courageous,recreation,gritty,meat,romp,lineofwork,contest,gimpy,secretplan,spirited,punt,gambol,activity,fauna,gamey
gaming	recreation,gambling,play,diversion,vice
ghz	gigacycle,rate,gc,gigahertz,gigacyclepersecond
google	search,explore,searchengine,research
gps	globalpositioningsystem,navigationalsystem
halo	annulus,toroid,anulus,glory,gloriole,nimbus,light,anchorring,atmosphericphenomenon,aura,aureole,ring,lightness,doughnut
handheld	
hardware	instrumentation,software,munition,component,arms,computerhardware,ironware,weaponry,implementsofwar,constituent,weaponssystem,element,instrumentality
i	ane,digit,iodine,figure,ace,iodin,letterofthealphabet,unity,one,1,single,halogen,cardinal,letteri,letter,element,alphabeticcharacter,chemicalelement,atomicnumber53
ie	idest,i.e.,explorer,webbrowser,internetexplorer,browser
indie	independent,popgroup,filmcompany
internet	cyberspace,net,computernetwork
keyboard	device,holder
kindle	ignite,flareup,raise,fire,light,make,elicit,inflame,enkindle,arouse,evoke,provoke,create,conflagrate
laptop	laptopcomputer,portablecomputer
link	datalink,nexus,relate,colligate,dissociate,shape,disconnectedness,connect,electricalcircuit,radiolink,connexion,programline,disconnect,yoke,attach,union,fixing,fastener,unite,communicationchannel,connectedness,statement,tie,cogitate,channel,communicationsystem,form,associate,linearunit,electriccircuit,unification,linkup,fastening,line,linkage,join,instruction,intergroupcommunication,cerebrate,connection,contact,command,holdfast,circuit,liaison,think,tiein
linux	unix,unixsystem,unixoperatingsystem
live	ringing,gothrough,dead,bouncy,springy,exist,lively,inplay,go,loaded,animate,liveborn,holdout,liveout,untaped,living,elastic,recorded,current,hot,vital,resilient,dwell,inhabit,unrecorded,unfilmed,viable,be,livein,liveon,alive,survive,active,holdup,last,reverberant,see,know,experience,endure,subsist,undergo,charged
macintosh	fabric,cloth,material,raincoat,textile,mackintosh,mac,waterproof,mack
mobile	perambulating,motile,stabile,sculpture,seaborne,changeful,mobileriver,transferrable,floating,motorized,changeable,rotatable,mechanised,immobile,transplantable,flying,peregrine,airborne,port,maneuverable,versatile,raisable,fluid,raiseable,metropolis,manoeuvrable,city,unsettled,movable,waterborne,ambulatory,moving,ambulant,moveable,roving,mechanized,transferable,nomadic,urbancenter,rangy,racy,transportable,river,wandering
monitor	varan,watercraft,proctor,guardian,supervise,rideherdon,lizard,videodisplay,monitorlizard,admonisher,observe,monitoringdevice,defender,vessel,supervisor,reminder,protector,display,shielder,electronicequipment
motoring	driving
mouse	pussyfoot,gnawer,gnawinganimal,bruise,walk,rodent,individual,shiner,manipulate,contusion,electronicdevice,sneakaway,computermouse,blackeye,creep,someone,somebody,sneakout,sneak,soul,person,mortal
net	takehome,sack,tissue,fabric,nett,gross,netprofit,takeholdof,goal,profit,netincome,textile,earnings,income,pay,weave,final,trap,cyberspace,material,lucre,web,internet,bear,cloth,mesh,gain,catch,computernetwork,gameequipment,meshing,network,last,clear,yield,meshwork,benefit,ultimate,sackup,grab,profits
oracle	prophesier,diviner,seer,prophet,vaticinator,shrine,prophecy,divination
pc	microcomputer,personalcomputer,digitalcomputer
photography	business,process,pictorialrepresentation,physicalprocess,job,picturetaking,lineofwork,line,picturing,occupation
pi	detective,privateinvestigator,letterofthealphabet,antiviraldrug,privateeye,antiviralagent,principalinvestigator,manofscience,scientist,alphabeticcharacter,privatedetective,letter,transcendentalnumber,shamus,proteaseinhibitor,antiviral,operative,sherlock
piracy	plagiarization,plagiarism,buccaneering,hijacking,highjacking,copyrightinfringement,plagiarisation,infringementofcopyright
pirate	commandeer,despoiler,thief,plunderer,pillager,freebooter,buccaneer,ship,plagiariser,stealer,plagiarizer,literarypirate,searover,pirateship,raider,plagiarist,spoiler,seize,looter,searobber,hijack,steal,highjack
platform	politicalplatform,automaticdataprocessingsystem,level,horizontalsurface,weaponsplatform,politicalprogram,adpsystem,writtendocument,program,computingsystem,structure,papers,adps,chopine,construction,document,computersystem,shoe
playback	electronicequipment,soundreproduction
power	commonwealth,bodypolitic,force,office,supply,mathematicalnotation,powerfulness,mightiness,bigbusinessman,quality,baron,superpower,might,index,strength,knowledge,provide,respublica,state,causalagent,cause,topexecutive,powerlessness,tycoon,ability,causalagency,nation,inability,physicalphenomenon,manofaffairs,cater,ply,greatpower,exponent,king,land,magnate,worldpower,mogul,cognition,businessleader,country,majorpower,businessman,noesis
processor	centralprocessingunit,electronicequipment,business,centralprocessor,c.p.u.,worker,computerhardware,hardware,mainframe,businessorganisation,businessconcern,businessorganization,cpu,concern
programming	creatingbymentalacts,planning,computerprogramming,scheduling,computerprograming,programing
ps	note,postscript,annotation,notation
python	mythicalcreature,boa,mythicalmonster,spirit,disembodiedspirit
raider	corporateinvestor,spoiler,looter,despoiler,thief,plunderer,pillager,freebooter,stealer
ram	pound,force,house,sign,thrust,ariestheram,individual,mansion,crash,signofthezodiac,sheep,drive,jam,aries,cram,chockup,volatilestorage,someone,somebody,clash,tup,wad,tool,jampack,collide,randomaccessmemory,drivein,ramdown,planetaryhouse,soul,person,stuff,starsign,mortal,read/writememory,randommemory
raspberry	razz,bramblebush,shout,hiss,yell,hoot,raspberrybush,bird,bronxcheer,cry,call,berry,boo,outcry,vociferation,razzing,drupelet,snort
recommendation	congratulations,kudos,passport,testimonial,characteristic,advice,extolment,praise,goodword
retro	fashion,expostfacto,retrospective,retroactive
robot	golem,automaton,mechanism
safari	huntingexpedition,campaign,expedition
search	investigate,lookinto,highercognitiveprocess,look,hunting,examination,explore,hunt,see,scrutiny,examine,investigation,lookup,lookfor,activity,investigating,operation,research,seek
security	warranty,legalinstrument,electricaldevice,securitymeasures,guard,surety,guarantee,certificate,insecurity,section,instrument,safety,department,warrant,fearlessness,securitymeasure,transferredproperty,officialdocument,protection,safeguard,bravery,warrantee,assets,securitysystem,legaldocument,transferredpossession,precaution,securitydepartment
software	code,computercode,softwareprogram,softwarepackage,package,hardware,softwaresystem,computersoftware
sonic	hearable,supersonic,transonic,audible,subsonic
spam	junkemail,electronicmail,tinnedmeat,cannedmeat,netmail,email
steam	goup,move,uprise,seered,steamclean,steamer,go,arise,anger,giveout,travel,moveup,comeup,rise,lift,locomote,cook,giveoff,vapour,makeclean,clean,vapor,emit
stream	feed,crowd,float,course,bodyofwater,beadrift,blow,oozeout,raincatsanddogs,pelt,current,swarm,transude,flowing,raindown,crowdtogether,watercourse,move,run,drift,rain,pullulate,water,line,rainbuckets,wellout,teem,exudate,flow,pour,motion,ooze,movement,exude
sun	lie,lord'sday,sunshine,star,influentialperson,solarize,light,expose,visibleradiation,sunbathe,personage,sunlight,sunday,restday,importantperson,dayofrest,solarise,dominicus,visiblelight,insolate
surface	layer,opencast,publicknowledge,ascend,bound,aspect,open,comeon,goup,skindeep,superficial,appear,aerofoil,subsurface,overhead,artefact,comeup,showup,rise,turnup,shallow,artifact,earth'ssurface,device,boundary,coat,controlsurface,cover,bounds,opencut,facet,comeout,generalknowledge,aboveground,gradeconstructed,airfoil,riseup
tablet	bar,dose,lozenge,paper,pad,tab,cake,padofpaper,slab,pill
technology	discipline,appliedscience,field,study,profession,fieldofstudy,engineeringscience,subjectarea,application,engineering,branchofknowledge,bailiwick,subjectfield,practicalapplication,subject
technophile	enthusiast,fancier,technophobe
ted	teddyboy,plugugly,toughguy
telecom	medium,telecommunication
television	telecomequipment,boobtube,televisionsystem,televisionreceiver,telecommunicationsystem,telecomsystem,tv,telly,idiotbox,gogglebox,receivingsystem,broadcasting,video,televisionset,tvset,telecasting,telecommunicationequipment,receiver
tomb	spot,topographicpoint,place,grave
trojan	city,asiatic,trojanhorse,urbancenter,metropolis,dardanian,asian,dardan,malevolentprogram
twitch	grip,vellication,cramp,squeeze,force,jerk,pull,pinch,tweet,move,twinge,musclespasm,moveinvoluntarily,flip,twitching,draw,nip,movereflexively,spasm
twitter	sound,chitter,twirp,cheep,chirp,chirrup,peep
vine	tracheophyte,vascularplant
virus	infectiveagent,computervirus,microorganism,agency,delegacy,infectiousagent,representation,malevolentprogram
web	physicalobject,www,blade,computernetwork,network,tissuelayer,material,object,system,worldwideweb,textile,cloth,tissue,vane,trap,weave,membrane,entanglement,net,scheme,fabric
wheel	bicycle,wheelaround,wheeledvehicle,move,steeringwheel,helm,goaround,go,force,transport,roulettewheel,travel,machine,bike,instrumentoftorture,roll,locomote,pedal,revolve,gameequipment,cycle,rotate,ride,simplemachine,handwheel,rack
wifi	lan,wlan,localareanetwork,wirelessfidelity,wirelesslocalareanetwork
windows	os,operatingsystem
wireless	communicationsystem,telecommunication,receivingset,telecom,receiver,radiocommunication,radioset,receivingsystem,broadcasting,radio,tuner,wired,radioreceiver
wow	sidesplitter,jest,riot,jape,bellylaugh,impress,thighslapper,howler,laugh,joke,gag,scream
y2k	yr,twelvemonth,year
yahoo	rube,bumpkin,fictionalcharacter,character,searchengine,rustic,hayseed,chawbacon,yokel,fictitiouscharacter,hick
